,name,capital,region,lat,long,population,alpha3Code
204,Slovakia,Bratislava,Europe,48.66666666,19.5,5426252,SVK
205,Slovenia,Ljubljana,Europe,46.11666666,14.81666666,2064188,SVN
206,Solomon Islands,Honiara,Oceania,-8.0,159.0,642000,SLB
207,Somalia,Mogadishu,Africa,10.0,49.0,11079000,SOM
208,South Africa,Pretoria,Africa,-29.0,24.0,55653654,ZAF
209,South Georgia and the South Sandwich Islands,King Edward Point,Americas,-54.5,-37.0,30,SGS
210,Korea (Republic of),Seoul,Asia,37.0,127.5,50801405,KOR
211,South Sudan,Juba,Africa,7.0,30.0,12131000,SSD
212,Spain,Madrid,Europe,40.0,-4.0,46438422,ESP
213,Sri Lanka,Colombo,Asia,7.0,81.0,20966000,LKA
214,Sudan,Khartoum,Africa,15.0,30.0,39598700,SDN
215,Suriname,Paramaribo,Americas,4.0,-56.0,541638,SUR
216,Svalbard and Jan Mayen,Longyearbyen,Europe,78.0,20.0,2562,SJM
217,Swaziland,Lobamba,Africa,-26.5,31.5,1132657,SWZ
218,Sweden,Stockholm,Europe,62.0,15.0,9894888,SWE
219,Switzerland,Bern,Europe,47.0,8.0,8341600,CHE
220,Syrian Arab Republic,Damascus,Asia,35.0,38.0,18564000,SYR
221,Taiwan,Taipei,Asia,23.5,121.0,23503349,TWN
222,Tajikistan,Dushanbe,Asia,39.0,71.0,8593600,TJK
223,"Tanzania, United Republic of",Dodoma,Africa,-6.0,35.0,55155000,TZA
224,Thailand,Bangkok,Asia,15.0,100.0,65327652,THA
225,Timor-Leste,Dili,Asia,-8.83333333,125.91666666,1167242,TLS
226,Togo,Lomé,Africa,8.0,1.16666666,7143000,TGO
227,Tokelau,Fakaofo,Oceania,-9.0,-172.0,1411,TKL
228,Tonga,Nuku'alofa,Oceania,-20.0,-175.0,103252,TON
229,Trinidad and Tobago,Port of Spain,Americas,11.0,-61.0,1349667,TTO
230,Tunisia,Tunis,Africa,34.0,9.0,11154400,TUN
231,Turkey,Ankara,Asia,39.0,35.0,78741053,TUR
232,Turkmenistan,Ashgabat,Asia,40.0,60.0,4751120,TKM
233,Turks and Caicos Islands,Cockburn Town,Americas,21.75,-71.58333333,31458,TCA
234,Tuvalu,Funafuti,Oceania,-8.0,178.0,10640,TUV
235,Uganda,Kampala,Africa,1.0,32.0,33860700,UGA
236,Ukraine,Kiev,Europe,49.0,32.0,42692393,UKR
237,United Arab Emirates,Abu Dhabi,Asia,24.0,54.0,9856000,ARE
238,United Kingdom of Great Britain and Northern Ireland,London,Europe,54.0,-2.0,65110000,GBR
239,United States of America,"Washington, D.C.",Americas,38.0,-97.0,323947000,USA
240,Uruguay,Montevideo,Americas,-33.0,-56.0,3480222,URY
241,Uzbekistan,Tashkent,Asia,41.0,64.0,31576400,UZB
242,Vanuatu,Port Vila,Oceania,-16.0,167.0,277500,VUT
243,Venezuela (Bolivarian Republic of),Caracas,Americas,8.0,-66.0,31028700,VEN
244,Viet Nam,Hanoi,Asia,16.16666666,107.83333333,92700000,VNM
245,Wallis and Futuna,Mata-Utu,Oceania,-13.3,-176.2,11750,WLF
246,Western Sahara,El Aaiún,Africa,24.5,-13.0,510713,ESH
247,Yemen,Sana'a,Asia,15.0,48.0,27478000,YEM
248,Zambia,Lusaka,Africa,-15.0,30.0,15933883,ZMB
249,Zimbabwe,Harare,Africa,-20.0,30.0,14240168,ZWE
